axis,category,description
interest,人文探究,歴史や哲学・文学など人間の営みを批判的に解釈する領域
interest,言語表現,言語や翻訳・表現技法を扱い文化間の橋渡しをする領域
interest,文化批評,映像や音楽など大衆文化の意味を分析し社会との関係を探る領域
interest,社会分析,社会構造や政策をデータと現場双方から捉える領域
interest,政治法制度,法律や制度設計を通じて社会のルールを考察する領域
interest,経済ビジネス,市場や組織のメカニズムを解析し価値創出を目指す領域
interest,環境科学,気候・生態系・資源循環など地球規模課題を科学的に解く領域
interest,地球惑星,地球内部や宇宙惑星の成り立ちを探る地球科学領域
interest,物理数理,自然法則を数理モデルで解明する理論物理・数学系領域
interest,化学材料,物質の性質や材料設計を分子レベルから扱う領域
interest,生命医科学,生命現象を解明し医療応用へつなげるバイオ・医科学領域
interest,農環境,食料生産と環境保全を両立させる農学・農業工学領域
interest,情報科学,アルゴリズムやデータ基盤など情報技術を探究する領域
interest,デジタル創造,インタラクティブメディアやUI/UXを設計するデジタル表現領域
interest,芸術実践,音楽・舞台・美術等の創作を通じて社会に問いを投げかける領域
interest,教育革新,学習環境や教育システムの改善に挑む教育テクノロジー領域
interest,スポーツ科学,運動データを解析しパフォーマンス向上を目指す領域
interest,デザイン思考,ユーザー視点で課題発見と体験設計を行う領域
activity,理論構築,概念整理やフレームワーク設計を得意とするスタイル
activity,数理解析,統計やモデリングなどデータ解析能力を用いるスタイル
activity,実験操作,装置調整や手順管理を伴う実験遂行スタイル
activity,観測調査,観測・記録を通じてデータを収集するスタイル
activity,フィールドワーク,現場での観察やヒアリングを重視するスタイル
activity,プロトタイピング,短いサイクルで試作品を作り改善するスタイル
activity,プログラミング,コード実装で課題を解決するスタイル
activity,表現制作,作品や演出でメッセージを届けるスタイル
activity,ファシリテーション,対話を促し合意形成を支援するスタイル
activity,マネジメント,リスクやリソースを可視化しプロジェクトを統括するスタイル
activity,コミュニケーション,異分野の相手にわかりやすく伝えるスタイル
activity,ドキュメンテーション,記録や資料化で知識を整理するスタイル
values,社会貢献,人や社会の課題解決を最優先に置く価値観
values,公共性,公共制度や行政との協働を重視する価値観
values,持続可能性,環境負荷低減や循環型社会を重視する価値観
values,文化保全,文化資産や芸術表現の継承に価値を見いだす価値観
values,革新挑戦,新規性やリスクテイクを喜びとする価値観
values,経済成果,経済的成果やビジネスインパクトを重視する価値観
values,芸術性,感性や創造性を社会に広げることに価値を置く価値観
values,安定志向,制度や組織に属し専門性を堅実に高める価値観
values,自由裁量,裁量の大きさや柔軟な働き方を求める価値観
values,地域密着,地域社会との長期的関わりを大切にする価値観
values,グローバル,国境を越えた協働や多文化環境を志向する価値観
values,学術探究,知の創造と継承そのものに価値を置く価値観
career,研究職,大学や研究機関で最先端の知を生み出す職種志向
career,専門職,医療・法律など専門資格を生かして現場で貢献する職種志向
career,技術開発,製品やサービスを実装するエンジニアリング志向
career,プロダクトマネジメント,多職種を束ね価値を最大化する職種志向
career,ビジネス起業,事業創造やスタートアップに挑む職種志向
career,公共政策,行政や政策立案で社会制度を改善する職種志向
career,国際協力,国際機関やNGOで越境課題に取り組む職種志向
career,文化産業,文化・エンタメ領域で作品やイベントを届ける職種志向
career,教育支援,学ぶ人を支援し成長に寄り添う職種志向
learning_style,自己探究型,個人で深く考える時間を重視する学び方
learning_style,協働探究型,対話やチーム学習で理解を深める学び方
learning_style,体験実践型,現場での試行錯誤を通じて学ぶスタイル
learning_style,理論重視型,理論や原理の理解を基盤に行動するスタイル
learning_style,創造表現型,プロトタイプや表現を通じて思考を深めるスタイル
learning_style,継続改善型,振り返りと改善を習慣化する学び方
risk,リスク安定,確実性の高い選択を優先するリスク姿勢
risk,リスク計画,挑戦時もリスクを分解し計画的に進める姿勢
risk,リスク段階,段階的にスケールさせる漸進的挑戦姿勢
risk,リスク大胆,大胆にリスクを取り大きな挑戦を好む姿勢
risk,リスク失敗寛容,失敗から学び再挑戦することを良しとする姿勢
risk,リスク変化適応,環境変化に応じ柔軟に優先順位を変えられる姿勢
